,fas_id,name,address,postcode,easting,northing,latitude,longitude,local_authority
11380,115774,The Fox and Geese,"The Fox And Geese, 16 High Road, Ickenham",UB10 8LJ,508010,186227.0,51.564586,-0.443137,Hillingdon
11381,115775,The Gate P H,"Rickmansworth Road, Northwood",HA6 2RH,508308,191738.0,51.614062,-0.437141,Hillingdon
11382,115778,The Good Yarn,"The Good Yarn Ph, 132 High Street, Uxbridge",UB8 1JX,505456,184300.0,51.547749,-0.480547,Hillingdon
11383,115780,The Grand Union,"High Street, Cowley",UB8 2EW,505433,182021.0,51.527269,-0.48156,Hillingdon
11384,115783,The Harefield,"The Harefield, 41 High Street, Harefield",UB9 6BY,505147,190332.0,51.602023,-0.483198,Hillingdon
11385,115791,The Laurels,"153 High Street, Ruislip",HA4 8JY,509419,187161.0,51.57271,-0.422527,Hillingdon
11386,115794,The Load of Hay P H,"The Load Of Hay Ph, 33 Villier Street, Uxbridge",UB8 2PU,505684,182996.0,51.535977,-0.477651,Hillingdon
11387,115796,The Malt Shovel Ph,"Malt Shovel, 69 Iver Lane, Uxbridge",UB8 2JE,505150,182225.0,51.529146,-0.485577,Hillingdon
11388,115799,The Metropolitan,"Metropolitan Tavern, 8-9 Windsor Street, Uxbridge",UB8 1AB,505458,184041.0,51.545421,-0.480595,Hillingdon
11389,115800,The Middlesex Arms,"The Middlesex Arms, Long Drive, Ruislip",HA4 0HG,511227,185522.0,51.557616,-0.396968,Hillingdon
11390,115801,The Music Box,"Bourne Avenue, Hayes",UB3 1QT,508363,179383.0,51.503013,-0.44015,Hillingdon
11391,115806,The Old Crown,"The Old Crown, 81 Station Road, Hayes",UB3 4BG,509818,179639.0,51.505025,-0.419116,Hillingdon
11392,115808,The Olde Northwood P H,"The Olde Northwood Ph, 142 Pinner Road, Northwood",HA6 1BP,509729,190743.0,51.604835,-0.416938,Hillingdon
11393,115812,The Pheasant PH,"The Pheasant Ph, 98 West End Lane, Hayes",UB3 5LX,508452,177404.0,51.4852,-0.439476,Hillingdon
11394,115814,The Pipemakers Arms,"St John's Road, Uxbridge",UB8 2UR,504749,183531.0,51.540969,-0.490982,Hillingdon
11395,115815,The Plough,"Sipson Road, West Drayton",UB7 0HW,507156,178299.0,51.493491,-0.457862,Hillingdon
11396,115817,The Prince of Wales P.H,"Prince Of Wales Ph, 1 Harlington Road, Uxbridge",UB8 3HX,507192,182735.0,51.533347,-0.455997,Hillingdon
11397,115822,The Royal British Legion,"Park House, 32 High Street, Ruislip",HA4 7AN,509134,187510.0,51.575902,-0.42653,Hillingdon
11398,115823,The Royal British Legion,"The Royal British Legion, Uxbridge Road, Uxbridge",UB10 0LQ,507508,182674.0,51.532739,-0.451461,Hillingdon
11399,115827,The Spotted Dog,"Breakspear Road North, Harefield",UB9 6ND,505655,190338.0,51.601982,-0.475864,Hillingdon
